GEOID,median_household_income,share_bach_plus,share_mgmt_prof,vot_personal
36005017702,38897.0,0.08575248281130635,0.17016806722689076,15.310085283658312
36005017901,45292.0,0.10174243941518125,0.2179050670939315,16.520770788775227
36005017902,46230.0,0.1304956594791375,0.21450574068888267,16.690967180493114
36005018101,55400.0,0.06457399103139014,0.18863976083707026,18.27150995331641
36005018102,36334.0,0.0936161533754844,0.2272078319396288,14.797084789754035
36005018301,54226.0,0.25570363677433927,0.2243053986898577,18.07687443420448
36005018302,65196.0,0.0884580430172675,0.2275068161163284,19.82120403163541
36005018400,101705.0,0.17401101652478718,0.271657486229344,24.756583402927404
36005018502,32656.0,0.05181736257134274,0.1479423250225293,14.028170966597118
36005018900,48054.0,0.12692537313432836,0.20608955223880596,17.017052099159592
36005019300,41268.0,0.12258737610850287,0.215962441314554,15.769802976193374
36005019400,87188.0,0.150559511698881,0.23245167853509666,22.92175753244183
36005019500,37374.0,0.10527038155366457,0.22701070546253088,15.0073616059879
36005019700,24383.0,0.06672907194437015,0.22719978603904786,12.121688677676486
36005019900,31228.0,0.07863013698630136,0.1789041095890411,13.718026636905133
36005020000,47161.0,0.1480203045685279,0.22030456852791877,16.858194458940716
36005020100,36218.0,0.04126582278481013,0.15240506329113923,14.773445305775269
36005020200,52061.0,0.15209857527916826,0.2849441663457836,17.712334666479173
36005020400,60504.0,0.10182063385030343,0.2437626432906271,19.09464551023038
36005020501,20821.0,0.03060527394452794,0.15384615384615385,11.201349510833742
36005020502,41125.0,0.10870470637234486,0.31445231153685965,15.742456863352757
36005020601,59138.0,0.15783274440518258,0.24303101688260698,18.877864865883588
36005020900,39795.0,0.06870813397129187,0.20478468899521532,15.485805882023731
36005021001,46223.0,0.1961697034180077,0.22782284878308284,16.689703485994286
36005021002,70500.0,0.21924057426539648,0.22353414732322555,20.61171434311174
36005021100,50204.0,0.08567795263074234,0.18137021141312987,17.39356950254361
36005021200,69088.0,0.18806198584273962,0.2092978764109432,20.404260842326206
36005021301,47959.0,0.0707395498392283,0.23633440514469453,17.000222909795635
36005021302,30473.0,0.08779443254817987,0.15613847251962884,13.551181505737567
36005021501,43750.0,0.12250650477016478,0.20923677363399826,16.237104477174597
36005021601,54565.0,0.0698869475847893,0.265775950668037,18.133291214787974
36005021602,59408.0,0.21847414880201765,0.25756620428751575,18.92091010772326
36005021700,41416.0,0.1450980392156863,0.23941176470588235,15.798055399768982
36005021800,58807.0,0.10163880152292666,0.2872041052805827,18.824960292991186
36005021900,48623.0,0.19373776908023482,0.28864970645792565,17.117503760291267
36005022000,23468.0,0.039978958442924775,0.13992635455023672,11.892073814950741
36005022101,58186.0,0.13384985305904354,0.21346513491851457,18.72530101199272
36005022102,37022.0,0.06343283582089553,0.17961329715061058,14.936522406549232
36005022200,56029.0,0.16348773841961853,0.2591583409022101,18.374942642782422
36005022300,45007.0,0.07086614173228346,0.20722104858843865,16.46871027029543
36005022401,67824.0,0.2634493670886076,0.26186708860759494,20.216746063289893
36005022403,91225.0,0.25753228120516497,0.31384505021520803,23.446417417690206
36005022404,59482.0,0.18159426780116436,0.24160322436184506,18.932690605343197
36005022500,53191.0,0.0625,0.23713860544217688,17.903528588104177
36005022701,37134.0,0.09349349349349349,0.1977977977977978,14.959098539670167
36005022702,27446.0,0.18245888801879404,0.14956930305403288,12.860536489352842
36005022703,66146.0,0.16087962962962962,0.15856481481481483,19.96509356079844
36005022800,87961.0,0.2701404943980082,0.29592744086786416,23.023144300452262
36005022901,52763.0,0.11460025266197438,0.24796968056307525,17.831352966146845
36005022902,35313.0,0.18555109601728928,0.2942266131522075,14.587701354566285
36005023000,55460.0,0.06457925636007827,0.24735812133072407,18.281401595268076
36005023100,59388.0,0.04203821656050955,0.2178343949044586,18.917724930166273
36005023200,45125.0,0.12632006498781478,0.28310316815597075,16.49028508899958
36005023301,42778.0,0.08043826830571886,0.21779796900053447,16.055720324132054
36005023302,65156.0,0.0965893587994543,0.24474761255115962,19.81512260172771
36005023501,37194.0,0.04966887417218543,0.20650210716435882,14.971178892555239
36005023502,47484.0,0.13258636788048553,0.17763772175536882,16.915825819890753
36005023600,54583.0,0.14107365792759052,0.2877652933832709,18.136281889469668
36005023702,44583.0,0.07506702412868632,0.32439678284182305,16.390952846598225
36005023703,27763.0,0.06514465656366857,0.17004526667978745,12.934592560883633
36005023704,32984.0,0.06559169171904893,0.18775621754577754,14.09844509562239
36005023800,67750.0,0.14578111946532998,0.2819548872180451,20.205714219854766
36005023900,51172.0,0.0792838874680307,0.24605711849957373,17.560454497578625
36005024000,72608.0,0.13817217265493129,0.2572944297082228,20.917597095197408
36005024100,29527.0,0.13064926798217696,0.14974538510502863,13.33918262593141
36005024300,24293.0,0.06725744149057032,0.12133605998636673,12.099296836118878
36005024400,78854.0,0.2140221402214022,0.253690036900369,21.798741469511512
36005024501,49904.0,0.08685306365258774,0.25639500297441997,17.341522957144456
36005024502,37448.0,0.0860377358490566,0.2389937106918239,15.022211442593461
36005024600,95703.0,0.1865847897968824,0.273972602739726,24.01498570010089
36005024700,47283.0,0.20372460496613995,0.304176072234763,16.87998546561072
36005024800,78839.0,0.19160997732426305,0.2508503401360544,21.796668038401386
36005025000,109667.0,0.22831215970961888,0.3161524500907441,25.707363477511876
36005025100,50410.0,0.14903699174564353,0.29746254967899727,17.42921812882741
36005025200,80583.0,0.23047177107501934,0.23588553750966745,22.036431726054083
36005025300,43421.0,0.062086240830202186,0.2288423689389873,16.17593775389628
36005025400,66053.0,0.19572953736654805,0.22877478393492628,19.951053355794894
36005025500,55042.0,0.04508758568164509,0.18461538461538463,18.21237816352591
36005025600,58924.0,0.13641826923076922,0.28125,18.843677672993856
36005025700,55962.0,0.17486662714878481,0.2839359810314167,18.3639528926189
