GEOID,median_household_income,share_bach_plus,share_mgmt_prof,vot_personal,vot_business,biz_share_pi,vot_mixed
36081094201,67727.0,0.23812217194570134,0.22313348416289594,20.20228417649016,36.454401055901236,0.16904801355437782,22.949672251008174
36081094202,55694.0,0.18521739130434783,0.19252173913043477,18.31992796681949,33.057747113311144,0.15252811295971636,20.567859710375437
36081094203,56784.0,0.31167247386759583,0.14773519163763066,18.498331052690638,33.37967000010657,0.1283586540878148,20.408479691005525
36081094500,79700.0,0.22569444444444445,0.22296626984126985,21.915365451494196,39.545603580070534,0.1689577748578142,24.89413125591185
36081094700,84125.0,0.1443791329904482,0.2891256429096253,22.515525887275835,40.62857464575472,0.2046612692301662,26.222565435814012
36081095400,70795.0,0.16596764529658478,0.2182444577591372,20.654793124984522,37.27093954955308,0.16640960695229995,23.419879520558837
36081096400,106425.0,0.22830422225278504,0.2567734837023793,25.32452952708131,45.697335403615995,0.1872021386396161,29.13836235725834
36081097202,22941.0,0.04706565950029053,0.03137710633352702,11.757790804462116,21.216572233750078,0.06556497798177867,12.377955600607839
36081097204,73250.0,0.10320617832904283,0.12754505031593727,21.009870280171544,37.91166536589614,0.11746286466866046,22.99520354898344
36081097205,20744.0,0.07725453985841797,0.10372422283779624,11.180617970178687,20.17508158864646,0.10460774315878976,12.121508510230445
36081097206,48980.0,0.0662172878667724,0.1895321173671689,17.18022894049714,31.001195238997635,0.15091473697306756,19.266016434148973
36081097300,88889.0,0.2625231910946197,0.25139146567717996,23.14427423919234,41.76313172770462,0.1842976847223145,26.57568656649988
36081098100,124519.0,0.3127035830618892,0.25773615635179153,27.392859412464546,49.42957312975446,0.18772165350087688,31.529627749199662
36081098700,102639.0,0.26957192441187816,0.2560740455071346,24.869998697163787,44.877148487060914,0.18682468059384644,28.607828066254555
36081099100,108224.0,0.36874723328906595,0.22015641139147116,25.537674503159824,46.08194896380237,0.16744140974283883,28.97763678099361
36081099200,35529.0,0.09975609756097562,0.1770731707317073,14.632247836132384,26.40344162609363,0.14419115555966686,16.32954987102367
36081099701,95063.0,0.364367816091954,0.210727969348659,23.93455262795895,43.1891647979371,0.16235326709874534,27.060601820474165
36081099703,116319.0,0.44158571803623,0.27881333683381465,26.4755436324928,47.77430499047584,0.19909614149591048,30.716044837509422
36081099704,95653.0,0.42000548847420416,0.17549396267837541,24.00871156993386,43.32298233010411,0.14333892188165645,26.777198317627064
36081099705,147807.0,0.42456008985398724,0.29988768251591164,29.844688999406515,53.85382428384528,0.21046909966593952,34.89787008648008
36081099801,68297.0,0.12262887748270475,0.20319125195268914,20.28711869448922,36.60748233698334,0.1582860104931696,22.870403945257387
36081099802,45210.0,0.1811726147123088,0.1822651128914785,16.505808798532065,29.784224815228253,0.14699303334486663,18.4576434468413
