origin_vert,dest_vert,hour,origin_coord,dest_coord,tnc_time_min,tnc_cost,tnc_buffer_time,tnc_buffer_cost,tnc_buffer_distance_mi,flight_time_min,uam_total_cost,uam_total_time,tnc_avg_time,utility_uam,utility_tnc,Puam,Ptnc
LAX,HWD,11,"(33.94417072663332, -118.40248449470265)","(34.1267733404062, -118.26034781229289)",36.93333333333333,57,20.5,11.33105213777387,4.532420855109548,10,44.33105213777387,43.0,45,-6.583105213777387,-7.95,0.7968779962643846,0.20312200373561537
LAX,PSD,15,"(33.94417072663332, -118.40248449470265)","(34.102865241907594, -118.53883201373637)",41.56666666666667,57,38.266666666666666,3.058997787506014,1.2235991150024055,10,42.058997787506016,60.766666666666666,47,-7.2442331120839345,-8.05,0.6912067209619869,0.30879327903801307
LAX,LGB,7,"(33.94417072663332, -118.40248449470265)","(33.78886874856464, -118.17070111084027)",27.033333333333335,62,8.833333333333334,5.451896339692266,2.1807585358769064,15,56.45189633969227,36.333333333333336,34,-7.461856300635894,-7.9,0.6078166226840577,0.39218337731594227
LAX,UVS,16,"(33.94417072663332, -118.40248449470265)","(34.09590271250855, -118.41447725615767)",33.96666666666667,57,26.183333333333334,11.229067094096486,4.491626837638594,10,53.229067094096486,48.68333333333334,45,-7.757073376076316,-7.95,0.548082609456005,0.451917390543995
LAX,PSD,14,"(33.94417072663332, -118.40248449470265)","(34.036641174263174, -118.49957581589557)",28.666666666666668,57,22.15,11.496389375490551,4.598555750196221,10,50.49638937549055,44.65,47,-7.282138937549055,-8.05,0.6830580170702396,0.31694198292976034
LAX,WDHL,13,"(33.94417072663332, -118.40248449470265)","(34.13711693774097, -118.55227427794681)",42.28333333333333,78,15.05,9.58441873489556,3.833767493958224,15,69.58441873489556,42.55,48,-9.085941873489556,-10.200000000000001,0.7528848973264896,0.24711510267351042
LAX,LGB,10,"(33.94417072663332, -118.40248449470265)","(33.771201463606424, -118.12726929006094)",31.116666666666667,62,11.833333333333334,8.453613692010506,3.3814454768042026,15,59.45361369201051,39.333333333333336,34,-7.912028035867718,-7.9,0.49699302728545897,0.5030069727145411
LAX,BVH,9,"(33.94417072663332, -118.40248449470265)","(34.04934651532171, -118.39885021047779)",26.183333333333334,45,7.5,3.488228309814993,1.3952913239259972,10,28.988228309814993,30.0,29,-4.3988228309815,-5.95,0.8250836865895375,0.17491631341046257
LAX,WDHL,9,"(33.94417072663332, -118.40248449470265)","(34.1973104894676, -118.59862707281866)",41.9,78,6.916666666666667,4.622215672270047,1.848886268908019,15,64.62221567227004,34.416666666666664,48,-8.183054900560338,-10.200000000000001,0.8825647562271384,0.11743524377286167
LAX,PSD,17,"(33.94417072663332, -118.40248449470265)","(34.10223087902572, -118.49990602151418)",34.03333333333333,57,30.733333333333334,7.670381986946108,3.068152794778443,10,46.67038198694611,53.233333333333334,47,-7.328704865361279,-8.05,0.6728921507636912,0.3271078492363087
LAX,UVS,5,"(33.94417072663332, -118.40248449470265)","(34.17809474610796, -118.31744137345645)",40.85,57,15.416666666666666,8.70791333497435,3.4831653339897404,10,50.70791333497435,37.916666666666664,45,-6.966624666830769,-7.95,0.7277774425787973,0.2722225574212027
LAX,BVH,11,"(33.94417072663332, -118.40248449470265)","(34.07099009305011, -118.41701698135563)",27.266666666666666,45,3.5166666666666666,1.0931020251874786,0.43724081007499144,10,26.593102025187477,26.016666666666666,29,-3.9601435358520813,-5.95,0.8797279513075943,0.1202720486924057
