origin_vert,dest_vert,hour,Puam,Ptnc
LAX,PSD,2,0.6006187163845302,0.39938128361546965
LAX,PSD,3,0.737011793844168,0.26298820615583207
LAX,PSD,4,0.6976763214922036,0.30232367850779646
LAX,PSD,5,0.6431011475986345,0.35689885240136554
LAX,PSD,6,0.6685556617847043,0.3314443382152957
LAX,PSD,7,0.7133723392904034,0.28662766070959655
LAX,PSD,8,0.6754625169413218,0.32453748305867824
LAX,PSD,9,0.6571441570494501,0.34285584295055
LAX,PSD,10,0.635436860875529,0.36456313912447097
LAX,PSD,11,0.7109140467472232,0.28908595325277675
LAX,PSD,12,0.6653993473919526,0.33460065260804744
LAX,PSD,13,0.6021771486809837,0.3978228513190163
LAX,PSD,14,0.6725702642905863,0.32742973570941364
LAX,PSD,15,0.6777668716725783,0.32223312832742174
LAX,PSD,16,0.6059804100506904,0.3940195899493096
LAX,PSD,17,0.5852180993918618,0.4147819006081383
LAX,PSD,18,0.7514338237285644,0.2485661762714357
LAX,PSD,19,0.7193877489902305,0.2806122510097695
LAX,PSD,20,0.5204662372836242,0.4795337627163758
LAX,PSD,21,0.5290288002760385,0.47097119972396145
LAX,PSD,22,0.7865503846986425,0.21344961530135742
LAX,PSD,23,0.580812928167698,0.4191870718323021
LAX,UVS,0,0.668838770035708,0.3311612299642919
LAX,UVS,1,0.8043106999703171,0.19568930002968285
LAX,UVS,2,0.7104549748075801,0.28954502519242
LAX,UVS,3,0.7603928781485433,0.23960712185145672
LAX,UVS,4,0.6403184999485809,0.3596815000514191
LAX,UVS,5,0.7716434297451125,0.2283565702548876
LAX,UVS,6,0.743312643788422,0.2566873562115779
LAX,UVS,7,0.7339518888624936,0.26604811113750637
LAX,UVS,8,0.723604753179318,0.2763952468206819
LAX,UVS,9,0.7155340923207781,0.284465907679222
LAX,UVS,10,0.7443220101164624,0.2556779898835376
LAX,UVS,11,0.759367462830055,0.24063253716994504
LAX,UVS,12,0.7318250244001335,0.2681749755998664
LAX,UVS,13,0.7123042971005512,0.28769570289944874
LAX,UVS,14,0.6924737575761345,0.30752624242386545
LAX,UVS,15,0.7167442369756765,0.2832557630243235
LAX,UVS,16,0.7027762055668642,0.2972237944331358
LAX,UVS,17,0.8340575616827752,0.16594243831722472
LAX,UVS,18,0.6847974039778016,0.3152025960221983
LAX,UVS,19,0.815835634431295,0.18416436556870489
LAX,UVS,20,0.8026731192724608,0.1973268807275392
LAX,UVS,21,0.8567138996041681,0.1432861003958319
LAX,WDHL,1,0.8227963661370543,0.17720363386294566
LAX,WDHL,3,0.8054454263086083,0.1945545736913918
LAX,WDHL,4,0.7738437502834327,0.22615624971656723
LAX,WDHL,5,0.7989587834486516,0.20104121655134846
LAX,WDHL,6,0.8107353014809834,0.18926469851901664
LAX,WDHL,7,0.7820731204331377,0.2179268795668623
LAX,WDHL,8,0.7906440671610777,0.20935593283892226
LAX,WDHL,9,0.8171241878099553,0.1828758121900446
LAX,WDHL,10,0.8123546889358362,0.18764531106416374
LAX,WDHL,11,0.7906237401299361,0.20937625987006392
LAX,WDHL,12,0.8124537789051413,0.18754622109485872
LAX,WDHL,13,0.8336115302760176,0.16638846972398227
LAX,WDHL,14,0.7856477480707227,0.21435225192927737
LAX,WDHL,15,0.8414146072635564,0.1585853927364437
LAX,WDHL,16,0.8160910513050003,0.18390894869499974
LAX,WDHL,17,0.8258222299607892,0.17417777003921078
LAX,WDHL,19,0.8366457574968277,0.1633542425031723
LAX,WDHL,21,0.8578356253397885,0.14216437466021142
LAX,WDHL,22,0.7618679016373184,0.2381320983626815
LAX,WDHL,23,0.7840957783163075,0.2159042216836925
