time,origin,destination,count,duration,energy_consumption,tour_length,cluster_id,tour_revenue,revenue,per_flight_revenue,tour_sequence,served,p,q,p2,q2
155.0,0,1,1,10,15.0,1,34,31.188102357718623,31.188102357718623,31.188102357718623,LAX-DTLA,1,27.5,45.0,45.0,67.5
155.0,8,7,1,20,30.0,2,20,104.36876400120431,,,BVH-LAX-PSD,1,57.5,75.0,75.0,82.5
155.0,0,7,1,10,15.0,1,33,39.422171091668844,39.422171091668844,39.422171091668844,LAX-PSD,1,45.0,45.0,45.0,50.0
155.0,0,3,1,15,20.0,1,32,58.9023603932979,58.9023603932979,58.9023603932979,LAX-WDHL,1,50.0,67.5,67.5,70.0
160.0,0,2,1,10,15.0,1,12,51.08387730489737,51.08387730489737,51.08387730489737,LAX-LGB,1,22.5,22.5,22.5,60.0
160.0,0,5,1,15,20.0,1,36,176.51209411921764,176.51209411921764,176.51209411921764,LAX-ANH,1,45.0,67.5,67.5,77.5
170.0,5,6,1,25,35.0,2,28,298.1117613498062,,,ANH-LAX-HWD,1,27.5,72.5,72.5,80.0
170.0,0,5,1,15,20.0,1,0,88.25604705960882,88.25604705960882,88.25604705960882,LAX-ANH,1,47.5,50.0,50.0,55.0
170.0,7,1,1,20,30.0,2,33,132.98647816482472,,,PSD-LAX-DTLA,1,20.0,20.0,20.0,35.0
170.0,0,1,1,10,15.0,1,21,62.37620471543725,62.37620471543725,62.37620471543725,LAX-DTLA,1,20.0,37.5,37.5,47.5
175.0,2,0,1,15,20.0,1,8,102.16775460979474,102.16775460979474,102.16775460979474,LGB-LAX,1,35.0,35.0,35.0,65.0
180.0,0,5,1,15,20.0,1,40,353.0241882384353,353.0241882384353,353.0241882384353,LAX-ANH,1,40.0,52.5,52.5,70.0
180.0,0,0,1,20,30.0,2,22,118.26651327500653,,,LAX-PSD-LAX,1,22.5,82.5,62.5,87.5
185.0,8,0,1,10,15.0,1,37,51.04884363573325,51.04884363573325,51.04884363573325,BVH-LAX,1,70.0,70.0,55.0,55.0
185.0,1,0,1,10,15.0,1,16,31.188102357718623,31.188102357718623,31.188102357718623,DTLA-LAX,1,65.0,67.5,52.5,52.5
190.0,5,1,1,25,35.0,2,0,119.44414941732744,,,ANH-LAX-DTLA,1,20.0,20.0,20.0,55.0
190.0,4,0,1,10,15.0,1,5,41.22670065423043,41.22670065423043,41.22670065423043,UVS-LAX,1,50.0,52.5,37.5,40.0
190.0,2,0,1,15,20.0,1,1,51.08387730489737,51.08387730489737,51.08387730489737,LGB-LAX,1,80.0,80.0,80.0,80.0
195.0,8,0,1,10,15.0,1,13,51.04884363573325,51.04884363573325,51.04884363573325,BVH-LAX,1,55.0,55.0,40.0,52.5
200.0,2,0,1,15,20.0,1,12,102.16775460979474,102.16775460979474,102.16775460979474,LGB-LAX,1,40.0,40.0,20.0,57.5
200.0,4,0,1,10,15.0,1,17,41.22670065423043,41.22670065423043,41.22670065423043,UVS-LAX,1,40.0,42.5,27.5,35.0
200.0,1,0,1,10,15.0,1,21,124.7524094308745,124.7524094308745,124.7524094308745,DTLA-LAX,1,32.5,37.5,22.5,45.0
205.0,0,4,1,10,15.0,1,1,41.22670065423043,41.22670065423043,41.22670065423043,LAX-UVS,1,65.0,67.5,67.5,70.0
205.0,7,0,1,10,15.0,1,23,39.422171091668844,39.422171091668844,39.422171091668844,PSD-LAX,1,20.0,35.0,20.0,35.0
205.0,6,0,1,10,15.0,1,27,100.0308605129392,100.0308605129392,100.0308605129392,HWD-LAX,1,52.5,52.5,37.5,50.0
205.0,1,0,1,10,15.0,1,34,62.37620471543725,62.37620471543725,62.37620471543725,DTLA-LAX,1,52.5,60.0,45.0,47.5
210.0,4,0,1,10,15.0,1,19,41.22670065423043,41.22670065423043,41.22670065423043,UVS-LAX,1,40.0,40.0,25.0,45.0
210.0,0,0,1,20,30.0,2,8,51.04884363573325,,,LAX-BVH-LAX,1,35.0,35.0,20.0,97.5
210.0,1,0,1,10,15.0,1,24,31.188102357718623,31.188102357718623,31.188102357718623,DTLA-LAX,1,62.5,62.5,47.5,47.5
215.0,5,0,1,15,20.0,1,40,176.51209411921764,176.51209411921764,176.51209411921764,ANH-LAX,1,50.0,50.0,30.0,87.5
215.0,6,0,1,10,15.0,1,29,33.34362017097973,33.34362017097973,33.34362017097973,HWD-LAX,1,47.5,50.0,35.0,75.0
215.0,2,0,1,15,20.0,1,25,51.08387730489737,51.08387730489737,51.08387730489737,LGB-LAX,1,75.0,75.0,60.0,60.0
220.0,5,0,1,15,20.0,1,36,353.0241882384353,353.0241882384353,353.0241882384353,ANH-LAX,1,57.5,62.5,47.5,47.5
220.0,4,0,1,10,15.0,1,1,82.45340130846085,82.45340130846085,82.45340130846085,UVS-LAX,1,55.0,80.0,65.0,67.5
220.0,6,0,1,10,15.0,1,31,66.68724034195947,66.68724034195947,66.68724034195947,HWD-LAX,1,70.0,70.0,55.0,55.0
225.0,1,0,1,10,15.0,1,33,62.37620471543725,62.37620471543725,62.37620471543725,DTLA-LAX,1,20.0,35.0,20.0,40.0
225.0,2,0,1,15,20.0,1,35,51.08387730489737,51.08387730489737,51.08387730489737,LGB-LAX,1,65.0,75.0,60.0,77.5
225.0,6,0,1,10,15.0,1,38,66.68724034195947,66.68724034195947,66.68724034195947,HWD-LAX,1,70.0,70.0,55.0,55.0
230.0,4,0,1,10,15.0,1,16,41.22670065423043,41.22670065423043,41.22670065423043,UVS-LAX,1,37.5,37.5,22.5,52.5
230.0,8,0,1,10,15.0,1,37,25.524421817866624,25.524421817866624,25.524421817866624,BVH-LAX,1,40.0,42.5,42.5,50.0
230.0,1,0,1,10,15.0,1,14,31.188102357718623,31.188102357718623,31.188102357718623,DTLA-LAX,1,27.5,35.0,20.0,35.0
230.0,5,1,1,25,35.0,2,26,295.95624353654506,,,ANH-LAX-DTLA,1,62.5,87.5,87.5,95.0
230.0,7,0,1,10,15.0,1,39,39.422171091668844,39.422171091668844,39.422171091668844,PSD-LAX,1,70.0,70.0,55.0,75.0
235.0,1,0,1,10,15.0,1,15,93.56430707315587,93.56430707315587,93.56430707315587,DTLA-LAX,1,82.5,85.0,70.0,85.0
235.0,7,0,1,10,15.0,1,20,78.84434218333769,78.84434218333769,78.84434218333769,PSD-LAX,1,67.5,72.5,57.5,77.5
235.0,3,0,1,15,20.0,1,32,58.9023603932979,58.9023603932979,58.9023603932979,WDHL-LAX,1,50.0,67.5,52.5,77.5
240.0,5,0,1,15,20.0,1,4,176.51209411921764,176.51209411921764,176.51209411921764,ANH-LAX,1,35.0,42.5,27.5,85.0
240.0,1,0,1,10,15.0,1,2,62.37620471543725,62.37620471543725,62.37620471543725,DTLA-LAX,1,27.5,35.0,20.0,45.0
240.0,2,0,1,15,20.0,1,9,51.08387730489737,51.08387730489737,51.08387730489737,LGB-LAX,1,20.0,35.0,20.0,75.0
240.0,6,0,1,10,15.0,1,13,66.68724034195947,66.68724034195947,66.68724034195947,HWD-LAX,1,37.5,37.5,22.5,62.5
240.0,8,0,1,10,15.0,1,5,25.524421817866624,25.524421817866624,25.524421817866624,BVH-LAX,1,25.0,42.5,27.5,90.0
245.0,8,0,1,10,15.0,1,17,25.524421817866624,25.524421817866624,25.524421817866624,BVH-LAX,1,20.0,35.0,20.0,55.0
245.0,4,0,1,10,15.0,1,21,82.45340130846085,82.45340130846085,82.45340130846085,UVS-LAX,1,30.0,37.5,22.5,50.0
245.0,0,0,1,20,30.0,2,37,127.62210908933312,,,LAX-BVH-LAX,1,20.0,57.5,42.5,77.5
250.0,3,0,1,15,20.0,1,3,117.8047207865958,117.8047207865958,117.8047207865958,WDHL-LAX,1,80.0,80.0,65.0,75.0
250.0,5,0,1,15,20.0,1,18,353.0241882384353,353.0241882384353,353.0241882384353,ANH-LAX,1,62.5,62.5,47.5,92.5
250.0,1,0,1,10,15.0,1,10,31.188102357718623,31.188102357718623,31.188102357718623,DTLA-LAX,1,45.0,45.0,30.0,52.5
250.0,7,0,1,10,15.0,1,27,39.422171091668844,39.422171091668844,39.422171091668844,PSD-LAX,1,35.0,42.5,22.5,87.5
250.0,6,0,1,10,15.0,1,34,66.68724034195947,66.68724034195947,66.68724034195947,HWD-LAX,1,32.5,35.0,20.0,60.0
250.0,4,0,1,10,15.0,1,23,41.22670065423043,41.22670065423043,41.22670065423043,UVS-LAX,1,20.0,35.0,20.0,35.0
255.0,6,0,1,10,15.0,1,24,66.68724034195947,66.68724034195947,66.68724034195947,HWD-LAX,1,32.5,40.0,20.0,67.5
255.0,5,0,1,15,20.0,1,11,353.0241882384353,353.0241882384353,353.0241882384353,ANH-LAX,1,77.5,80.0,80.0,80.0
255.0,3,0,1,15,20.0,1,30,58.9023603932979,58.9023603932979,58.9023603932979,WDHL-LAX,1,80.0,85.0,70.0,95.0
255.0,7,0,1,10,15.0,1,19,78.84434218333769,78.84434218333769,78.84434218333769,PSD-LAX,1,30.0,35.0,20.0,55.0
255.0,1,0,1,10,15.0,1,7,93.56430707315587,93.56430707315587,93.56430707315587,DTLA-LAX,1,85.0,90.0,75.0,85.0
